"Object Count","Layer Name","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"55","centres","","12afccd8-ab46-4812-9f81-95a4d31766c4","point","15690.728564,19945.473640,0.000000","","","",""
"56","centres","","12d10252-4691-40ff-a4cb-4dd61a46823b","point","15802.956746,19855.253808,0.000000","","","",""
"57","centres","","131ba450-c71e-4d7f-b300-8965b0d8eac2","point","15555.998290,20386.457086,0.000000","","","",""
"58","centres","","132c6bc7-569f-478e-86b1-bb2f10877791","point","19542.579456,20761.792427,0.000000","","","",""
"59","centres","","14736696-11b9-4b80-a266-d7209e92e459","point","15828.058287,19711.494666,0.000000","","","",""
"60","centres","","14f1f808-31df-4820-82b5-02f2c6966b1a","point","16097.182338,19254.626155,0.000000","","","",""
"61","centres","","152760e9-5709-4500-92c3-6aba0076ccdb","point","16070.178911,18839.275395,0.000000","","","",""
"62","centres","","155a138e-d1cd-4b48-9c37-7f5dd065a332","point","17929.753625,20990.790768,0.000000","","","",""
"63","centres","","15dc7549-e52c-4dd8-b8c3-05b7cff54a0c","point","15840.132232,19899.913334,0.000000","","","",""
"64","centres","","166682d2-f55c-4a6c-9c86-2a8ae76fde3b","point","15744.250650,20131.125487,0.000000","","","",""
"65","centres","","1690616c-a3b6-4de5-81c2-b96b55290bfb","point","16708.959707,21057.217785,0.000000","","","",""
"66","centres","","16e5aa49-a2c7-4b71-b091-67317ec0b2c1","point","15922.730488,19372.107503,0.000000","","","",""
"67","centres","","1858d6c5-01e7-4827-9986-168a49d2fb57","point","16294.256947,20394.389814,0.000000","","","",""
"68","centres","","187c652c-3ef0-4964-8ea8-c8d905b54b45","point","15251.465700,20609.612182,0.000000","","","",""
"69","centres","","188e8070-1aeb-4b42-abda-aef951d6f5d7","point","15786.097133,19380.918767,0.000000","","","",""
"70","centres","","18a8de16-8648-4d4f-8adc-ff2d5d48196c","point","16728.700136,19577.450251,0.000000","","","",""
"71","centres","","190f537c-b542-4e49-ac20-5134302255d2","point","17768.375685,20154.471435,0.000000","","","",""
"72","centres","","197f2185-ae7e-477d-8825-23ff91f2a8da","point","18144.591968,21321.295279,0.000000","","","",""
"73","centres","","1990bffb-c3ca-4f44-b64a-d859a9d209ce","point","18128.660295,20217.214259,0.000000","","","",""
"74","centres","","19a3eb1b-9599-4dcb-8681-23eac4e98419","point","16765.997726,20564.407074,0.000000","","","",""
"75","centres","","1a07165d-b329-49a6-b090-e8ac53bec7ae","point","16884.700948,20572.126455,0.000000","","","",""
"76","centres","","1a43030f-b4e4-4261-86e6-ae663d93dbc1","point","17698.390797,20753.258861,0.000000","","","",""
