# Curves CSV Format
"# Format: type,name,width,closed,x1,y1,x2,y2,x3,y3,..."
""
major_road,MajorRoads_00,12,0,15187.240000000000,21219.450000000001,15256.510000000000,21131.720000000001,15325.790000000001,21044.0,15395.059999999999,20956.270000000000,15464.330000000000,20868.540000000001,15533.610000000001,20780.810000000001,15602.879999999999,20693.090000000000,15672.150000000000,20605.360000000001,15734.850000000000,20513.049999999999,15778.959999999999,20410.419999999998,15820.240000000000,20306.540000000001,15861.530000000001,20202.660000000000,15902.809999999999,20098.790000000001,15944.100000000000,19994.910000000000,15985.379999999999,19891.029999999999,16026.670000000000,19787.150000000001
major_road,MajorRoads_01,12,0,17036.220000000001,19054.230000000000,16979.419999999998,19090.380000000001,16922.630000000001,19126.529999999999,16865.840000000000,19162.680000000000,16809.040000000001,19198.840000000000,16752.25,19234.990000000002,16695.450000000001,19271.139999999999,16638.660000000000,19307.299999999999,16581.860000000001,19343.450000000001,16525.070000000000,19379.599999999999,16468.270000000000,19415.75,16411.480000000000,19451.910000000000,16354.680000000000,19488.060000000001,16297.889999999999,19524.209999999999,16241.100000000000,19560.369999999999,16184.299999999999,19596.520000000000
major_road,MajorRoads_02,12,0,15951.879999999999,19623.520000000000,15936.790000000001,19618.220000000001,15921.690000000001,19612.919999999998,15906.600000000000,19607.619999999999,15891.5,19602.310000000001,15876.400000000000,19597.009999999998,15861.309999999999,19591.709999999999,15846.209999999999,19586.400000000001,15831.120000000001,19581.099999999999,15816.020000000000,19575.799999999999,15800.930000000000,19570.5,15785.830000000000,19565.189999999999,15770.730000000000,19559.889999999999,15755.639999999999,19554.590000000000,15740.540000000001,19549.279999999999,15725.450000000001,19543.980000000000
major_road,MajorRoads_03,12,0,19601.560000000001,20921.259999999998,19575.619999999999,20918.669999999998,19549.680000000000,20916.090000000000,19523.730000000000,20913.5,19497.790000000001,20910.919999999998,19471.849999999999,20908.330000000002,19445.910000000000,20905.75,19419.959999999999,20903.169999999998,19394.020000000000,20900.580000000002,19368.080000000002,20898.0,19342.139999999999,20895.410000000000,19316.189999999999,20892.830000000002,19290.25,20890.240000000002,19264.310000000001,20887.660000000000,19238.369999999999,20885.070000000000,19212.419999999998,20882.490000000002
major_road,MajorRoads_04,12,0,19212.419999999998,20882.490000000002,19176.950000000001,20867.099999999999,19141.480000000000,20851.720000000001,19106.0,20836.330000000002,19070.529999999999,20820.939999999999,19035.060000000001,20805.560000000001,18999.580000000002,20790.169999999998,18964.110000000001,20774.779999999999,18928.639999999999,20759.389999999999,18893.160000000000,20744.009999999998,18857.689999999999,20728.619999999999,18822.220000000001,20713.230000000000,18786.740000000002,20697.849999999999,18751.270000000000,20682.459999999999,18715.799999999999,20667.070000000000,18680.320000000000,20651.689999999999
major_road,MajorRoads_05,12,0,15030.840000000000,20917.349999999999,15034.299999999999,20935.779999999999,15037.75,20954.200000000001,15041.209999999999,20972.630000000001,15044.670000000000,20991.049999999999,15048.129999999999,21009.470000000001,15051.580000000000,21027.900000000001,15055.040000000001,21046.320000000000,15058.5,21064.740000000002,15061.950000000001,21083.169999999998,15065.410000000000,21101.590000000000,15068.870000000001,21120.009999999998,15072.330000000000,21138.439999999999,15075.780000000001,21156.860000000001,15079.240000000000,21175.279999999999,15082.700000000001,21193.709999999999
major_road,MajorRoads_06,12,0,15188.389999999999,22085.279999999999,15183.870000000001,22042.980000000000,15179.340000000000,22000.669999999998,15174.820000000000,21958.369999999999,15170.290000000001,21916.070000000000,15165.760000000000,21873.770000000000,15161.240000000000,21831.459999999999,15156.709999999999,21789.160000000000,15152.190000000001,21746.860000000001,15147.660000000000,21704.560000000001,15143.139999999999,21662.25,15138.610000000001,21619.950000000001,15134.080000000000,21577.650000000001,15129.559999999999,21535.349999999999,15125.030000000001,21493.040000000001,15120.510000000000,21450.740000000002
major_road,MajorRoads_07,12,0,16699.520000000000,21576.820000000000,16679.220000000001,21542.919999999998,16659.590000000000,21508.630000000001,16640.650000000001,21473.959999999999,16622.389999999999,21438.919999999998,16604.830000000002,21403.520000000000,16587.970000000001,21367.790000000001,16571.820000000000,21331.730000000000,16556.380000000001,21295.360000000001,16541.669999999998,21258.689999999999,16527.680000000000,21221.730000000000,16514.430000000000,21184.509999999998,16501.919999999998,21147.040000000001,16490.139999999999,21109.320000000000,16479.119999999999,21071.380000000001,16468.849999999999,21033.230000000000
major_road,MajorRoads_08,12,0,18940.0,21331.970000000001,18915.459999999999,21295.279999999999,18890.919999999998,21258.599999999999,18866.380000000001,21221.910000000000,18841.840000000000,21185.220000000001,18817.299999999999,21148.540000000001,18792.759999999998,21111.849999999999,18768.220000000001,21075.160000000000,18743.680000000000,21038.470000000001,18719.139999999999,21001.790000000001,18694.599999999999,20965.099999999999,18670.060000000001,20928.410000000000,18645.520000000000,20891.730000000000,18620.980000000000,20855.040000000001,18596.439999999999,20818.349999999999,18571.900000000001,20781.660000000000
major_road,MajorRoads_09,12,0,15330.540000000001,20457.689999999999,15359.030000000001,20454.130000000001,15387.570000000000,20451.009999999998,15416.160000000000,20448.349999999999,15444.790000000001,20446.180000000000,15473.450000000001,20444.509999999998,15502.139999999999,20443.369999999999,15530.850000000000,20442.75,15559.559999999999,20442.700000000001,15588.270000000000,20443.209999999999,15616.959999999999,20444.299999999999,15645.620000000001,20445.990000000002,15674.240000000000,20448.279999999999,15702.799999999999,20451.189999999999,15731.299999999999,20454.700000000001,15759.709999999999,20458.840000000000
major_road,MajorRoads_10,12,0,18114.660000000000,20607.450000000001,17923.459999999999,20656.910000000000,17732.259999999998,20706.369999999999,17541.070000000000,20755.840000000000,17349.869999999999,20805.299999999999,17158.669999999998,20854.770000000000,16967.470000000001,20904.230000000000,16776.270000000000,20953.689999999999,16585.070000000000,21003.160000000000,16393.740000000002,21052.070000000000,16200.440000000001,21092.529999999999,16007.129999999999,21132.990000000002,15813.830000000000,21173.459999999999,15620.530000000001,21213.919999999998,15427.219999999999,21254.380000000001,15233.920000000000,21294.840000000000
local_road,LocalRoads_00,6,0,14490.639999999999,21384.150000000001,14512.480000000000,21381.930000000000,14534.309999999999,21379.709999999999,14556.150000000000,21377.490000000002,14577.980000000000,21375.270000000000,14599.820000000000,21373.049999999999,14621.650000000000,21370.820000000000,14643.490000000000,21368.599999999999,14665.320000000000,21366.380000000001,14687.160000000000,21364.160000000000,14708.990000000000,21361.939999999999,14730.830000000000,21359.720000000001,14752.660000000000,21357.5,14774.5,21355.270000000000,14796.330000000000,21353.049999999999,14818.160000000000,21350.830000000002
local_road,LocalRoads_01,6,0,16263.740000000000,19086.380000000001,16257.129999999999,19106.660000000000,16250.520000000000,19126.950000000001,16243.900000000000,19147.230000000000,16237.290000000001,19167.509999999998,16230.680000000000,19187.790000000001,16224.059999999999,19208.070000000000,16217.450000000001,19228.360000000001,16210.830000000000,19248.639999999999,16204.219999999999,19268.919999999998,16197.610000000001,19289.200000000001,16190.990000000000,19309.490000000002,16184.379999999999,19329.770000000000,16177.770000000000,19350.049999999999,16171.150000000000,19370.330000000002,16164.540000000001,19390.619999999999
local_road,LocalRoads_02,6,0,16204.469999999999,19659.790000000001,16348.420000000000,19652.540000000001,16492.360000000001,19645.290000000001,16636.310000000001,19638.040000000001,16780.25,19630.790000000001,16924.160000000000,19630.400000000001,17062.980000000000,19667.270000000000,17187.490000000002,19739.389999999999,17308.270000000000,19818.040000000001,17429.049999999999,19896.689999999999,17549.820000000000,19975.340000000000,17670.599999999999,20053.990000000002,17791.380000000001,20132.650000000001,17912.150000000001,20211.299999999999,18032.930000000000,20289.950000000001,18153.709999999999,20368.599999999999
local_road,LocalRoads_03,6,0,15396.020000000000,21302.029999999999,15568.410000000000,21290.439999999999,15740.799999999999,21278.849999999999,15913.190000000001,21267.259999999998,16085.580000000000,21255.669999999998,16257.969999999999,21244.080000000002,16430.099999999999,21229.930000000000,16594.950000000001,21179.099999999999,16757.650000000001,21120.959999999999,16920.360000000001,21062.830000000002,17083.060000000001,21004.689999999999,17245.770000000000,20946.549999999999,17408.470000000001,20888.419999999998,17571.180000000000,20830.279999999999,17733.880000000001,20772.139999999999,17896.590000000000,20714.009999999998
local_road,LocalRoads_04,6,0,15316.240000000000,21121.020000000000,15384.540000000001,21055.680000000000,15452.850000000000,20990.349999999999,15521.150000000000,20925.009999999998,15589.459999999999,20859.669999999998,15657.760000000000,20794.340000000000,15726.070000000000,20729.0,15793.75,20663.040000000001,15851.150000000000,20588.110000000001,15893.440000000001,20503.740000000002,15919.260000000000,20412.939999999999,15938.520000000000,20320.400000000001,15957.780000000001,20227.860000000001,15977.040000000001,20135.320000000000,15996.290000000001,20042.779999999999,16015.549999999999,19950.240000000002
