"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","Site_CSV::Blue_Attractor","","point","16076,19667,0"
"2","Site_CSV::Red_Attractor","","point","18405.10010739602,20532.30756597337,0"
"3","Site_CSV::Blue_Attractor","","point","14463.96937670372,21508.22973293171,0"
